City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
honghu,20.71,87.02600000000001,39,1,4.26
oudtshoorn,-7.61,73.88600000000002,90,100,0.76
attawapiskat,64.75,1.183999999999969,84,27,3.0
torbay,51.77,39.19999999999993,23,20,11.0
mogadishu,69.49,37.39999999999998,74,100,10.0
jasper,36.06,64.39999999999992,12,20,5.0
ksenyevka,21.23,76.99999999999994,83,40,2.1
port elizabeth,48.1,46.09400000000005,52,100,4.23
abeche,26.59,58.891999999999996,31,0,3.17
lephepe,66.71,36.37399999999997,82,86,5.44
san lawrenz,33.73,62.599999999999966,63,0,2.6
maningrida,40.68,47.31800000000004,81,1,1.5
necochea,-11.95,49.20799999999997,29,98,0.73
carnarvon,40.81,52.61000000000007,71,90,1.5
kenai,50.27,49.262,48,95,3.33
paamiut,62.0,33.69199999999995,93,100,3.45
kieta,42.8,73.68800000000005,14,0,1.4
onverwacht,-9.66,68.08999999999997,67,38,1.31
gravelbourg,40.16,54.24799999999999,100,40,1.5
coahuayana,40.6,49.51400000000001,93,90,2.12
samarai,-35.72,61.71800000000002,72,97,2.95
riyadh,-7.91,83.89400000000006,69,100,2.46
bida,22.1,99.51800000000009,10,0,2.99
mayskiy,-12.97,85.99999999999994,79,40,3.1
arlit,32.67,61.988,82,20,1.53
kavaratti,43.88,35.599999999999966,74,75,4.0
hailar,51.71,31.153999999999996,92,22,4.98
port-gentil,42.25,45.733999999999924,93,90,1.5
emilio carranza,54.43,48.146000000000015,34,3,0.71
nikolskoye,63.84,27.55400000000003,74,6,6.7
hofn,-26.25,58.17199999999997,59,75,4.6
lerwick,-18.37,71.36599999999993,49,32,0.91
diu,65.42,20.894000000000005,85,98,3.44
mancio lima,69.67,36.33800000000002,64,85,17.0
sinkat,20.53,62.113999999999976,44,5,1.56
anadyr,62.08,37.652000000000044,75,67,4.45
nezhinka,9.17,71.99600000000004,85,23,0.91
talnakh,36.96,63.49999999999994,63,40,3.6
lanzhou,14.3,81.84199999999993,76,76,3.2
isla mujeres,55.53,50.863999999999976,48,0,4.81
mukhen,63.87,49.20799999999997,43,75,6.7
awbari,-12.58,75.19999999999999,88,75,1.82
kemijarvi,-28.55,61.358000000000004,37,0,1.87
shingu,40.2,54.03199999999998,50,75,2.1
shasta lake,9.59,79.916,28,72,5.65
san jeronimo,10.85,82.67000000000002,72,21,4.5
fairview,48.8,47.40799999999996,47,100,5.57
ust-koksa,6.88,85.17199999999997,67,79,2.6
churapcha,63.9,32.863999999999976,94,100,2.63
hami,64.18,22.999999999999943,62,38,3.6
saurimo,-20.78,88.71800000000002,40,58,1.88
lata,18.64,85.99999999999994,66,20,4.1
fortuna,-17.71,77.07199999999995,83,50,3.77
batemans bay,42.03,53.420000000000016,100,90,1.24
kilindoni,-8.47,87.88999999999993,62,47,2.46
baihar,40.25,52.214,25,1,2.1
pemba,18.3,77.86399999999998,78,75,2.1
ponta do sol,39.18,51.83600000000001,87,0,1.0
changchun,44.05,32.59400000000005,74,1,1.34
katangli,37.1,51.81800000000004,54,1,3.1
broome,46.78,40.603999999999985,65,90,4.6
bagdarin,41.25,41.05400000000003,82,100,3.68
grindavik,38.12,49.02800000000002,65,20,0.81
manzini,-1.75,74.46200000000005,95,100,1.2
shakawe,-5.09,74.89400000000006,75,65,5.05
maniitsoq,-22.67,75.14600000000002,77,59,8.1
bjornevatn,62.23,39.19999999999993,80,51,10.8
san agustin,47.65,43.339999999999975,51,0,4.03
suoyarvi,59.64,27.373999999999967,63,90,10.8
alikalia,42.44,47.678,75,0,2.6
erzin,-4.27,79.50200000000001,88,75,2.1
champerico,37.46,49.11800000000005,87,1,6.2
pokosnoye,53.57,29.714,93,0,5.59
straumen,28.72,62.599999999999966,55,5,3.56
benguela,57.84,49.58600000000001,55,0,1.28
oranjemund,-15.77,45.21199999999999,30,100,0.54
noshiro,-26.53,68.57600000000008,95,76,0.45
dire dawa,34.5,49.99999999999994,66,75,6.2
karkaralinsk,51.89,49.04599999999999,93,86,1.0
lopez jaena,22.48,83.012,42,77,1.82
birobidzhan,61.13,46.39999999999998,49,46,4.6
dhidhdhoo,-23.86,75.19999999999999,88,75,8.2
kysyl-syr,27.12,74.69599999999997,41,29,1.56
nuuk,49.63,30.739999999999952,90,94,8.52
roebourne,6.5,84.19999999999999,83,40,3.1
alibag,-25.24,80.59999999999997,22,40,3.6
caravelas,17.08,81.57199999999995,69,46,4.75
vila,-16.26,72.64400000000006,90,82,1.36
merauke,-2.9,75.57800000000003,92,66,2.74
fort morgan,66.77,33.583999999999946,96,97,2.45
culebra,61.69,23.233999999999924,92,0,2.59
capoterra,-19.98,71.59999999999997,46,15,4.6
bridgton,0.11,67.99999999999994,56,40,3.6
saint george,-19.98,83.4260000000001,61,20,7.2
duluth,-10.18,69.9260000000001,70,73,2.06
chardara,20.89,69.72800000000001,78,40,1.5
tumannyy,-13.88,82.39999999999992,83,40,2.07
villacarrillo,13.18,94.892,9,6,4.07
capitao poco,34.13,48.596000000000004,71,90,1.18
paita,27.27,72.44599999999997,16,25,2.95
vao,-33.75,46.00400000000002,79,0,2.59
klaksvik,56.84,28.47199999999998,84,99,7.19
tsimlyansk,17.48,91.00399999999996,55,18,2.49
homer,23.17,74.40799999999996,86,29,1.34
orbetello,66.83,21.596000000000004,97,100,10.77
brazzaville,30.8,74.55200000000008,39,57,2.92
half moon bay,55.75,46.813999999999965,81,41,4.6
okha,-42.72,55.77800000000008,69,76,3.61
providencia,46.54,31.819999999999993,96,100,10.12
alekseyevsk,4.87,80.79799999999994,85,44,3.41
sorata,62.49,42.710000000000036,65,71,2.6
coolum beach,-20.73,91.39999999999992,15,100,5.1
kangavar,-0.78,64.41800000000006,44,43,2.57
colchester,30.18,74.35399999999998,94,90,3.6
lao cai,13.57,79.43,13,0,4.52
rauma,67.67,40.99999999999994,93,90,20.1
inhambane,-13.7,71.78000000000003,94,90,2.1
jian,49.63,37.39999999999998,37,20,6.0
boshnyakovo,15.85,81.19400000000002,66,12,1.92
porto novo,36.1,54.06800000000004,81,0,1.81
yulara,65.01,21.991999999999962,93,0,0.88
dicabisagan,60.75,19.238,86,100,2.77
pocone,-15.2,73.67000000000002,58,0,3.23
camocim,35.3,56.98399999999998,55,0,3.07
zhigansk,33.08,64.39999999999992,88,20,1.82
ust-kulom,47.18,47.22800000000001,61,0,1.5
maun,-33.3,57.72200000000004,38,77,4.1
nandi hills,49.78,15.799999999999955,72,1,1.28
cap malheureux,17.02,85.99999999999994,58,0,1.5
laje,44.04,50.10799999999995,48,0,1.9
kahului,-29.15,51.76400000000001,53,6,2.5
sola,29.12,84.416,24,0,3.54
rabak,59.33,23.360000000000014,89,83,5.14
highland,40.43,51.799999999999955,66,75,3.1
mongar,16.86,75.19999999999999,94,5,2.1
venado tuerto,-16.62,73.14799999999997,77,56,2.26
yelanskiy,31.81,71.00600000000003,27,13,0.89
sawang daen din,22.24,79.08800000000002,79,34,3.3
nuevo progreso,20.7,71.59999999999997,88,5,2.1
yar-sale,6.73,74.012,93,36,1.45
nanchong,62.58,41.46800000000002,93,75,11.3
beith,36.3,69.06200000000007,55,20,5.1
hokitika,-11.57,71.59999999999997,88,90,2.6
svetlaya,2.43,89.59999999999997,75,40,3.6
axim,28.42,64.88600000000002,44,0,4.23
timra,-28.29,46.39999999999998,81,0,3.1
mount isa,-19.8,78.80000000000001,94,75,3.1
bomet,35.18,58.99999999999994,47,20,10.8
prien,56.16,53.40199999999999,63,0,3.74
kolokani,-2.76,79.39400000000006,86,97,4.28
sorland,-3.6,72.58999999999997,78,96,0.81
pisco,48.26,49.460000000000036,27,0,5.1
abay,20.5,72.26600000000002,18,0,4.6
puerto escondido,-27.46,53.22200000000004,93,3,2.1
sidi ali,28.37,72.51800000000009,46,20,7.2
opobo,42.49,57.146000000000015,20,0,2.04
izhma,16.64,79.01600000000002,12,79,4.47
haines junction,37.04,56.89400000000006,44,1,4.6
namibe,34.64,46.94,87,90,1.08
abu samrah,19.8,91.39999999999992,55,75,1.0
camacha,-34.58,62.726000000000056,93,75,4.6
chama,-20.1,85.118,31,1,4.08
san luis,-35.33,54.66199999999998,59,0,0.54
chapais,-21.64,74.22800000000001,90,65,4.84
salalah,69.38,6.2239999999999895,89,97,1.63
shepsi,14.87,80.99600000000004,74,81,1.59
reconquista,-28.57,61.96999999999997,56,4,0.45
yazman,27.32,97.68199999999996,11,39,3.03
yayva,-22.43,80.4919999999999,82,100,4.17
komsomolskiy,54.41,51.99799999999999,43,22,5.36
acapulco,28.66,66.19999999999999,77,20,2.6
camana,66.15,11.102000000000032,71,0,1.29
huilong,64.92,36.39199999999994,99,100,11.75
dwarka,-51.62,57.19999999999999,54,100,5.1
ixtapa,45.18,40.11800000000005,100,75,2.22
abengourou,-3.42,87.80000000000001,66,40,4.1
roald,-19.06,80.59999999999997,88,100,2.1
oyama,60.31,23.82800000000003,90,6,3.2
chancay,16.7,90.32,55,75,3.6
mersing,-16.52,83.156,77,83,7.79
matay,-23.37,61.646000000000015,82,62,2.02
panambi,5.4,82.41800000000006,71,72,0.76
pangai,56.13,43.789999999999964,71,80,4.56
oda,60.47,13.676000000000045,92,0,1.63
nizhnyaya poyma,45.85,44.31200000000001,20,0,4.0
tutoia,-7.71,72.62600000000003,93,78,1.3
kampene,24.47,83.87600000000003,39,0,2.1
sieghartskirchen,11.0,88.57400000000001,58,49,6.09
adrar,52.09,51.02600000000007,53,0,3.1
resistencia,13.22,78.80000000000001,74,40,7.2
naze,-37.32,42.00799999999998,93,26,0.98
karakol,46.68,43.97000000000003,32,22,4.21
gao,58.13,23.21599999999995,96,100,8.09
liberal,66.03,12.110000000000014,93,98,3.48
lompoc,31.26,71.72600000000006,19,96,3.0
puri,64.9,28.994000000000028,97,100,2.33
flinders,32.77,48.488,33,1,4.6
charters towers,6.12,86.48600000000005,64,28,4.89
constitucion,22.89,64.63399999999996,80,99,4.17
sao joao da barra,65.58,3.307999999999936,93,60,2.6
leningradskiy,27.32,53.58199999999994,34,94,2.21
mazatan,17.41,89.72600000000006,65,40,4.1
vallenar,51.22,30.199999999999932,86,20,5.1
nichlaul,63.44,30.199999999999932,92,52,5.1
moerai,-5.26,74.46200000000005,92,97,0.57
spassk-ryazanskiy,21.1,97.82600000000008,11,0,4.12
los llanos de aridane,43.2,43.412000000000035,61,15,5.96
pangnirtung,13.93,92.87600000000003,21,11,7.09
tarko-sale,43.03,50.79199999999997,100,90,2.1
barawe,-21.23,60.69199999999995,74,88,2.0
rio gallegos,11.78,79.89799999999997,80,53,5.39
merrill,49.63,30.505999999999972,68,49,6.79
martapura,-4.76,82.39999999999992,88,40,3.1
alofi,51.8,48.02000000000004,81,84,2.6
gayny,-8.14,84.25399999999996,74,62,0.35
khao wong,-19.55,78.76399999999995,78,22,8.3
vaitape,68.75,15.76400000000001,96,100,4.11
assai,38.5,66.00200000000001,10,55,5.73
sarangani,-5.53,76.99999999999994,100,100,0.48
stepantsevo,50.23,15.799999999999955,52,1,3.1
tilichiki,-8.84,80.59999999999997,83,75,3.1
oranzherei,-9.67,75.19999999999999,94,23,1.5
pauini,34.02,59.63000000000005,93,90,2.72
abu dhabi,64.84,15.22399999999999,56,20,1.04
dingle,70.37,35.599999999999966,80,75,18.0
koscian,60.73,45.283999999999935,61,11,2.08
bathsheba,42.04,49.099999999999966,29,23,5.16
tandil,-9.88,71.834,90,99,0.72
baruun-urt,51.72,58.99999999999994,16,0,6.0
abalak,-3.28,78.90799999999996,86,54,4.01
inta,-25.3,74.87600000000003,54,90,4.6
lujiang,40.56,39.19999999999993,66,90,6.2
grand centre,51.32,43.37600000000003,56,37,7.11
leshukonskoye,-0.95,76.99999999999994,88,75,1.0
silver city,-36.89,43.43000000000001,82,40,1.28
hambantota,70.98,34.73600000000005,92,100,7.52
cabo san lucas,36.72,62.99600000000004,41,82,0.45
lavrentiya,-32.41,51.00799999999998,42,16,2.73
zhaotong,4.88,80.79799999999994,86,35,3.16
nakhon phanom,40.18,51.98000000000002,81,1,3.6
zhanatas,13.35,70.12399999999997,62,0,2.52
yorkton,24.77,69.60200000000003,85,100,0.89
vestmannaeyjar,18.22,78.94400000000002,83,40,3.1
bolonchen,39.23,65.46200000000005,12,58,6.3
tuntum,47.87,55.63399999999996,41,30,0.54
akot,58.97,41.738,93,100,5.7
kuryk,-26.82,60.80000000000001,87,75,0.61
edd,-35.1,60.00799999999998,89,56,2.24
santa comba,5.89,84.86599999999993,70,54,3.28
barbacena,71.0,33.799999999999955,92,75,4.1
manaure,47.91,51.799999999999955,11,40,4.0
assiniboia,7.98,83.40799999999996,59,8,3.27
loandjili,30.76,58.06400000000002,65,13,4.29
haverfordwest,12.22,82.63399999999996,64,0,3.24
buala,37.23,40.99999999999994,86,90,3.31
isangel,52.48,48.03800000000001,87,88,0.5
cherskiy,51.03,50.81000000000006,87,99,0.81
jinchang,-9.11,80.43800000000005,72,85,0.41
imperatriz,-16.98,49.27999999999997,35,97,0.45
havre-saint-pierre,51.5,39.79400000000004,63,42,1.54
luanda,50.68,42.60200000000003,56,61,7.23
maceio,69.41,37.39999999999998,74,100,10.0
roswell,58.96,41.57600000000002,68,0,2.25
fairbanks,2.53,76.892,31,5,1.75
vardo,37.83,55.976000000000056,66,15,2.6
lensk,49.75,13.999999999999943,85,1,1.5
pingzhuang,-25.17,79.52000000000004,60,29,2.86
yakshur-bodya,6.55,73.382,92,26,1.31
alta floresta,-2.57,85.06400000000002,72,99,4.25
novaya bryan,33.67,70.844,76,87,2.92
trairi,56.85,31.56800000000004,73,34,0.42
hervey bay,42.08,45.94999999999993,100,75,1.5
nurota,-0.95,79.52000000000004,74,100,1.89
toliary,41.12,49.99999999999994,61,1,2.1
kamenka,61.92,20.389999999999986,93,100,9.56
dzhusaly,50.24,44.13199999999995,54,7,6.68
manta,9.75,72.49999999999994,88,55,1.73
olavarria,-15.72,87.80000000000001,62,20,3.6
honningsvag,-27.37,49.83800000000002,64,0,2.11
dien bien,-21.12,63.428000000000054,77,79,2.06
mingshui,2.02,94.87399999999997,41,70,1.21
villa maria,51.13,41.34199999999993,46,34,0.39
takoradi,47.13,49.24400000000003,39,1,3.6
hihifo,66.5,37.39999999999998,69,100,6.7
red bluff,51.37,51.06200000000001,29,0,3.5
nioro,43.71,48.19999999999993,87,1,1.5
navolato,70.66,34.322,81,75,4.1
the valley,34.77,62.51000000000005,72,40,1.5
shitanjing,18.61,81.89600000000002,64,19,4.32
altay,46.2,43.97000000000003,52,0,2.1
stromness,39.72,42.799999999999955,60,20,6.2
tucuman,68.31,20.444000000000017,88,95,4.87
